event_id,asset_id,title,event_type_id,start_date,end_date,event_status,description,performed_by,created_at,cost
7407cf8e-abc4-4088-9e4a-496e96,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Alteration,4,2022-02-21 00:00:00,2022-02-24 00:00:00,in_progress,Alteration for FIX-555089,Vendor,2025-04-16 12:49:39,
330d2c19-77a1-46c9-809e-5893a5,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Repair,3,2022-04-22 00:00:00,2022-04-24 00:00:00,completed,Repair for FIX-555089,Contractor,2025-04-16 12:49:39,3574.35
f7665376-3d05-4b18-8875-b167ca,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Maintenance,1,2022-07-21 00:00:00,2022-07-23 00:00:00,scheduled,Maintenance for FIX-555089,Vendor,2025-04-16 12:49:39,
b8dc98a4-5649-4fda-a83b-6e687d,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Alteration,4,2022-10-19 00:00:00,2022-10-20 00:00:00,completed,Alteration for FIX-555089,Vendor,2025-04-16 12:49:39,2054.29
7271c9c7-5d1a-424a-8c96-b7678c,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Repair,3,2022-11-18 00:00:00,2022-11-19 00:00:00,scheduled,Repair for FIX-555089,Internal Team,2025-04-16 12:49:39,
a5e8309d-2432-4ff0-82bb-dadf79,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Repair,3,2023-02-16 00:00:00,2023-02-17 00:00:00,in_progress,Repair for FIX-555089,Contractor,2025-04-16 12:49:39,
57fee35a-5739-4398-a3b6-0edbf3,SYS-4A549A15-F-80829-A-E6568,FIX-DB3384 Commissioning,1,2023-08-24 00:00:00,2023-08-25 00:00:00,completed,Initial commissioning and calibration of FIX-DB3384,Contractor,2025-04-16 12:49:39,3081.11
fd8a4de2-1499-404a-9309-9f83c4,SYS-4A549A15-F-80829-A-E6568,FIX-DB3384 Inspection,2,2024-02-20 00:00:00,2024-02-23 00:00:00,in_progress,Inspection for FIX-DB3384,Contractor,2025-04-16 12:49:39,
ae4f2617-aa8f-412c-b3b7-7f0db0,SYS-4A549A15-F-80829-A-E6568,FIX-DB3384 Alteration,4,2024-05-20 00:00:00,2024-05-21 00:00:00,scheduled,Alteration for FIX-DB3384,Vendor,2025-04-16 12:49:39,
2d4e07ec-3a82-4bb8-87b1-7d1880,SYS-4A549A15-F-80829-A-E6568,FIX-DB3384 Alteration,4,2024-08-18 00:00:00,2024-08-20 00:00:00,scheduled,Alteration for FIX-DB3384,Contractor,2025-04-16 12:49:39,
e66152a0-4e49-4716-a58d-82e1a5,SYS-4A549A15-F-80829-A-E6568,FIX-DB3384 Maintenance,1,2024-11-16 00:00:00,2024-11-17 00:00:00,in_progress,Maintenance for FIX-DB3384,Contractor,2025-04-16 12:49:39,
6f73fe32-2fc1-4d79-91ea-951a07,SYS-4A549A15-F-80829-A-E6568,FIX-DB3384 Maintenance,1,2025-05-15 00:00:00,2025-05-16 00:00:00,completed,Maintenance for FIX-DB3384,Internal Team,2025-04-16 12:49:39,2204.56
46dcb6cb-e41c-4a14-a6cc-238e53,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Commissioning,1,2023-06-10 00:00:00,2023-06-11 00:00:00,completed,Initial commissioning and calibration of FIX-BC8E5D,Contractor,2025-04-16 12:49:39,930.31
3056492b-8c76-4b50-aaa4-e3a5ef,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Inspection,2,2023-07-10 00:00:00,2023-07-12 00:00:00,scheduled,Inspection for FIX-BC8E5D,Vendor,2025-04-16 12:49:39,
ead7da80-21eb-4330-a91d-103443,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Alteration,4,2024-01-06 00:00:00,2024-01-09 00:00:00,completed,Alteration for FIX-BC8E5D,Contractor,2025-04-16 12:49:39,880.83
1e2cde5c-0f80-4528-9d64-e5ada0,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Alteration,4,2024-07-04 00:00:00,2024-07-05 00:00:00,scheduled,Alteration for FIX-BC8E5D,Internal Team,2025-04-16 12:49:39,
7373a1b3-67c5-434d-a5c6-54ae26,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Maintenance,1,2024-08-03 00:00:00,2024-08-06 00:00:00,in_progress,Maintenance for FIX-BC8E5D,Vendor,2025-04-16 12:49:39,
9f4f4349-7772-4039-8a77-73ef0e,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Repair,3,2024-11-01 00:00:00,2024-11-03 00:00:00,in_progress,Repair for FIX-BC8E5D,Vendor,2025-04-16 12:49:39,
982a61ca-028c-4ae6-8e66-ef228f,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Alteration,4,2025-01-30 00:00:00,2025-01-31 00:00:00,completed,Alteration for FIX-BC8E5D,Vendor,2025-04-16 12:49:39,2435.94
3e4cfc3f-9d24-40b5-9eb7-76ff61,SYS-4A549A15-F-80829-A-79D7A,FIX-BC8E5D Maintenance,1,2025-04-30 00:00:00,2025-05-03 00:00:00,in_progress,Maintenance for FIX-BC8E5D,Contractor,2025-04-16 12:49:39,
7c647c72-aa5d-41f1-ace0-f78672,SYS-4A549A15-F-80829-A-81754,FIX-B7B8B0 Commissioning,1,2024-05-16 00:00:00,2024-05-17 00:00:00,completed,Initial commissioning and calibration of FIX-B7B8B0,Vendor,2025-04-16 12:49:39,4273.45
c4e36a68-5bf4-4655-81be-1fc6ad,SYS-4A549A15-F-80829-A-81754,FIX-B7B8B0 Repair,3,2024-06-15 00:00:00,2024-06-18 00:00:00,in_progress,Repair for FIX-B7B8B0,Vendor,2025-04-16 12:49:39,
fd694aa7-58c0-4c60-b8bc-872c26,SYS-4A549A15-F-80829-A-81754,FIX-B7B8B0 Maintenance,1,2024-08-14 00:00:00,2024-08-16 00:00:00,scheduled,Maintenance for FIX-B7B8B0,Vendor,2025-04-16 12:49:39,
6041f561-bcb4-463b-876b-009c41,SYS-4A549A15-F-80829-A-81754,FIX-B7B8B0 Repair,3,2024-09-13 00:00:00,2024-09-15 00:00:00,completed,Repair for FIX-B7B8B0,Internal Team,2025-04-16 12:49:39,3685.28
44768f3e-f5d4-456a-8ca5-495aa5,SYS-4A549A15-F-80829-A-81754,FIX-B7B8B0 Inspection,2,2024-11-12 00:00:00,2024-11-13 00:00:00,in_progress,Inspection for FIX-B7B8B0,Internal Team,2025-04-16 12:49:39,
9ed2062f-324f-407d-9190-522d6d,SYS-4A549A15-F-80829-A-81754,FIX-B7B8B0 Alteration,4,2025-11-12 00:00:00,2025-11-13 00:00:00,in_progress,Alteration for FIX-B7B8B0,Vendor,2025-04-16 12:49:39,
fd05469d-74a7-4bc9-9504-f011ef,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Commissioning,1,2023-04-16 00:00:00,2023-04-17 00:00:00,completed,Initial commissioning and calibration of FIX-947432,Contractor,2025-04-16 12:49:39,4372.54
c608c9ee-d9b6-427e-95c8-dc9da5,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Repair,3,2023-10-13 00:00:00,2023-10-15 00:00:00,scheduled,Repair for FIX-947432,Internal Team,2025-04-16 12:49:39,
fdb51849-aba7-4a3d-80f3-f5aea7,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Maintenance,1,2024-10-12 00:00:00,2024-10-13 00:00:00,completed,Maintenance for FIX-947432,Contractor,2025-04-16 12:49:39,3511.58
98d17f88-d96f-4ace-af1d-1edda1,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Inspection,2,2024-11-11 00:00:00,2024-11-13 00:00:00,completed,Inspection for FIX-947432,Internal Team,2025-04-16 12:49:39,1128.68
7137d4ca-52ce-4c17-883d-fc1fdc,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Alteration,4,2025-01-10 00:00:00,2025-01-13 00:00:00,in_progress,Alteration for FIX-947432,Vendor,2025-04-16 12:49:39,
186c3327-dfb8-4f15-96b2-03d592,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Maintenance,1,2025-04-10 00:00:00,2025-04-13 00:00:00,in_progress,Maintenance for FIX-947432,Contractor,2025-04-16 12:49:39,
215c47eb-bc61-4db6-bd12-e49bad,SYS-4A549A15-F-80829-A-EB1A0,FIX-947432 Maintenance,1,2025-07-09 00:00:00,2025-07-12 00:00:00,completed,Maintenance for FIX-947432,Internal Team,2025-04-16 12:49:39,4256.24
8492f394-d93f-4e2f-b221-bf4d35,SYS-4A549A15-F-80829-A-2CF8C,FLO-B32678 Commissioning,1,2024-06-04 00:00:00,2024-06-05 00:00:00,completed,Initial commissioning and calibration of FLO-B32678,Internal Team,2025-04-16 12:49:39,2930.23
baa58186-3db3-4b7a-91f6-323726,SYS-4A549A15-F-80829-A-2CF8C,FLO-B32678 Repair,3,2025-06-04 00:00:00,2025-06-07 00:00:00,scheduled,Repair for FLO-B32678,Contractor,2025-04-16 12:49:39,
60aa3ee2-44e9-4259-b6de-e8fd00,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Commissioning,1,2021-10-13 00:00:00,2021-10-14 00:00:00,completed,Initial commissioning and calibration of FLO-304FA4,Contractor,2025-04-16 12:49:39,3709.84
44dd6d90-a136-4a92-bd09-2db0f4,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Repair,3,2022-01-11 00:00:00,2022-01-13 00:00:00,completed,Repair for FLO-304FA4,Contractor,2025-04-16 12:49:39,3557.76
d74c9b7a-4ad4-4cad-aeb3-9d27c2,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Alteration,4,2022-03-12 00:00:00,2022-03-14 00:00:00,completed,Alteration for FLO-304FA4,Contractor,2025-04-16 12:49:39,602.17
b8152f70-5e32-4b68-8fb6-217ce2,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Repair,3,2022-06-10 00:00:00,2022-06-11 00:00:00,completed,Repair for FLO-304FA4,Contractor,2025-04-16 12:49:39,1583.21
96f544e3-d46e-4068-88fd-bcbf81,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Alteration,4,2022-09-08 00:00:00,2022-09-09 00:00:00,completed,Alteration for FLO-304FA4,Contractor,2025-04-16 12:49:39,1554.96
ae54482d-fa87-4114-a8f0-be27d0,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Repair,3,2023-09-08 00:00:00,2023-09-09 00:00:00,in_progress,Repair for FLO-304FA4,Internal Team,2025-04-16 12:49:39,
a22ae2a2-7fd1-43f2-9bea-5e25ec,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Repair,3,2023-10-08 00:00:00,2023-10-11 00:00:00,scheduled,Repair for FLO-304FA4,Vendor,2025-04-16 12:49:39,
d25c81c6-eda8-4c65-9876-bced5c,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Maintenance,1,2023-12-07 00:00:00,2023-12-09 00:00:00,completed,Maintenance for FLO-304FA4,Vendor,2025-04-16 12:49:39,4535.82
f51f794c-cfd6-44f5-84cf-8736b3,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Maintenance,1,2024-02-05 00:00:00,2024-02-07 00:00:00,scheduled,Maintenance for FLO-304FA4,Vendor,2025-04-16 12:49:39,
97ccd870-7abe-495a-a7cc-af84b9,SYS-4A549A15-F-80829-A-CEC5F,FLO-304FA4 Repair,3,2024-08-03 00:00:00,2024-08-04 00:00:00,scheduled,Repair for FLO-304FA4,Contractor,2025-04-16 12:49:39,
ceb54625-243b-496d-934f-e2c058,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Commissioning,1,2022-11-30 00:00:00,2022-12-01 00:00:00,completed,Initial commissioning and calibration of FLO-0F289E,Contractor,2025-04-16 12:49:39,2173.57
8dfe8d62-f247-46f2-9641-8a5632,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Maintenance,1,2023-05-29 00:00:00,2023-05-31 00:00:00,completed,Maintenance for FLO-0F289E,Vendor,2025-04-16 12:49:39,3709.2
523e1a30-473c-4533-af91-3c4abb,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Alteration,4,2024-05-28 00:00:00,2024-05-31 00:00:00,completed,Alteration for FLO-0F289E,Vendor,2025-04-16 12:49:39,2223.58
a36ee2f0-bf6c-47ae-875a-54b060,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Maintenance,1,2024-07-27 00:00:00,2024-07-30 00:00:00,completed,Maintenance for FLO-0F289E,Vendor,2025-04-16 12:49:39,2167.82
dad29ba0-9ddd-441e-b51a-56052f,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Alteration,4,2024-09-25 00:00:00,2024-09-27 00:00:00,in_progress,Alteration for FLO-0F289E,Contractor,2025-04-16 12:49:39,
2cc548ed-2ef0-4616-8d14-e0880d,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Maintenance,1,2024-12-24 00:00:00,2024-12-25 00:00:00,in_progress,Maintenance for FLO-0F289E,Vendor,2025-04-16 12:49:39,
84469c81-76ef-49f7-85ec-b732a5,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Repair,3,2025-02-22 00:00:00,2025-02-23 00:00:00,completed,Repair for FLO-0F289E,Contractor,2025-04-16 12:49:39,2282.76
9c965c4c-474a-4851-85c0-5c3112,SYS-4A549A15-F-80829-A-D3CEC,FLO-0F289E Alteration,4,2025-04-23 00:00:00,2025-04-24 00:00:00,in_progress,Alteration for FLO-0F289E,Vendor,2025-04-16 12:49:39,
ffe3951f-d311-405e-b646-a11677,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Commissioning,1,2022-05-23 00:00:00,2022-05-24 00:00:00,completed,Initial commissioning and calibration of FLO-153EDE,Vendor,2025-04-16 12:49:39,1695.56
ea7debe4-6f16-4481-be1b-d9fc82,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Maintenance,1,2022-11-19 00:00:00,2022-11-20 00:00:00,completed,Maintenance for FLO-153EDE,Internal Team,2025-04-16 12:49:39,993.0
c830c2d0-b252-4aeb-9539-05c90b,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Repair,3,2023-01-18 00:00:00,2023-01-21 00:00:00,scheduled,Repair for FLO-153EDE,Vendor,2025-04-16 12:49:39,
59772a90-d7e5-42fc-8d86-459856,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Repair,3,2023-03-19 00:00:00,2023-03-22 00:00:00,in_progress,Repair for FLO-153EDE,Internal Team,2025-04-16 12:49:39,
fe965e52-5233-4098-b4c0-61786e,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Inspection,2,2023-06-17 00:00:00,2023-06-18 00:00:00,completed,Inspection for FLO-153EDE,Contractor,2025-04-16 12:49:39,615.53
31c41f2d-e4b7-4dd6-b8e2-9a8d7e,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Maintenance,1,2024-06-16 00:00:00,2024-06-18 00:00:00,completed,Maintenance for FLO-153EDE,Contractor,2025-04-16 12:49:39,2979.89
77a3491c-9673-46cb-822c-bd3f3c,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Repair,3,2024-12-13 00:00:00,2024-12-14 00:00:00,in_progress,Repair for FLO-153EDE,Internal Team,2025-04-16 12:49:39,
6a12ff30-306c-4a4a-bc7a-9f5799,SYS-4A549A15-F-80829-A-46DB1,FLO-153EDE Repair,3,2025-06-11 00:00:00,2025-06-13 00:00:00,in_progress,Repair for FLO-153EDE,Internal Team,2025-04-16 12:49:39,
3c820fca-f3d2-47a3-9c53-1af705,SYS-4A549A15-F-80829-A-23672,FLO-1BA928 Commissioning,1,2024-06-19 00:00:00,2024-06-20 00:00:00,completed,Initial commissioning and calibration of FLO-1BA928,Internal Team,2025-04-16 12:49:39,3972.82
5a86e74f-47cd-4dbd-b808-9ea7a1,SYS-4A549A15-F-80829-A-23672,FLO-1BA928 Inspection,2,2024-09-17 00:00:00,2024-09-19 00:00:00,in_progress,Inspection for FLO-1BA928,Internal Team,2025-04-16 12:49:39,
6e51abaa-b50a-4f9d-bfea-12025d,SYS-4A549A15-F-80829-A-23672,FLO-1BA928 Maintenance,1,2025-03-16 00:00:00,2025-03-18 00:00:00,completed,Maintenance for FLO-1BA928,Contractor,2025-04-16 12:49:39,973.05
9fc1b41d-7df5-4154-bea5-97b796,SYS-4A549A15-F-80829-A-23672,FLO-1BA928 Alteration,4,2025-09-12 00:00:00,2025-09-13 00:00:00,completed,Alteration for FLO-1BA928,Contractor,2025-04-16 12:49:39,1192.32
1f796a4b-ac7b-46d6-90be-6af8e6,SYS-4A549A15-F-80829-A-A2090,FLO-350651 Commissioning,1,2023-07-04 00:00:00,2023-07-05 00:00:00,completed,Initial commissioning and calibration of FLO-350651,Internal Team,2025-04-16 12:49:39,2392.27
10803659-81b0-45ae-a6c4-3b4df1,SYS-4A549A15-F-80829-A-A2090,FLO-350651 Inspection,2,2024-07-03 00:00:00,2024-07-05 00:00:00,completed,Inspection for FLO-350651,Contractor,2025-04-16 12:49:39,1508.95
49cca9d8-7e1c-443c-9c3f-ed5ead,SYS-4A549A15-F-80829-A-A2090,FLO-350651 Alteration,4,2024-12-30 00:00:00,2024-12-31 00:00:00,completed,Alteration for FLO-350651,Internal Team,2025-04-16 12:49:39,2684.95
b3612fc7-aa07-42d1-a83c-16ce0e,SYS-4A549A15-F-80829-A-A2090,FLO-350651 Maintenance,1,2025-01-29 00:00:00,2025-01-30 00:00:00,completed,Maintenance for FLO-350651,Vendor,2025-04-16 12:49:39,3123.11
eb248143-3baf-4617-9536-408f69,SYS-4A549A15-F-80829-A-A2090,FLO-350651 Alteration,4,2025-03-30 00:00:00,2025-04-01 00:00:00,completed,Alteration for FLO-350651,Vendor,2025-04-16 12:49:39,4868.56
82bdd3da-8162-4982-af99-68de19,SYS-4A549A15-F-80829-A-A2090,FLO-350651 Repair,3,2026-03-30 00:00:00,2026-03-31 00:00:00,scheduled,Repair for FLO-350651,Contractor,2025-04-16 12:49:39,
e9f09ac2-96b2-4681-b9ba-a7ac1b,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Commissioning,1,2023-03-03 00:00:00,2023-03-04 00:00:00,completed,Initial commissioning and calibration of FLO-16B313,Contractor,2025-04-16 12:49:39,3588.25
5f4b277a-3932-4cc7-8209-5ce402,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Repair,3,2023-06-01 00:00:00,2023-06-02 00:00:00,scheduled,Repair for FLO-16B313,Vendor,2025-04-16 12:49:39,
610c30fb-84ca-4a4e-b197-317b85,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Alteration,4,2024-05-31 00:00:00,2024-06-01 00:00:00,in_progress,Alteration for FLO-16B313,Internal Team,2025-04-16 12:49:39,
92181371-4a57-49d0-8baf-497d2b,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Alteration,4,2024-07-30 00:00:00,2024-08-01 00:00:00,completed,Alteration for FLO-16B313,Vendor,2025-04-16 12:49:39,3873.48
858f2b1a-a9d9-472a-a2f1-1b0858,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Inspection,2,2025-01-26 00:00:00,2025-01-29 00:00:00,scheduled,Inspection for FLO-16B313,Contractor,2025-04-16 12:49:39,
0f21cb22-100d-4d91-9b37-b63483,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Repair,3,2025-02-25 00:00:00,2025-02-26 00:00:00,in_progress,Repair for FLO-16B313,Contractor,2025-04-16 12:49:39,
b63b9b0f-8277-4823-8aff-ae6e0b,SYS-4A549A15-F-80829-A-67611,FLO-16B313 Maintenance,1,2025-05-26 00:00:00,2025-05-28 00:00:00,scheduled,Maintenance for FLO-16B313,Vendor,2025-04-16 12:49:39,
78d38d13-0663-4751-9608-15d850,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Commissioning,1,2023-09-11 00:00:00,2023-09-12 00:00:00,completed,Initial commissioning and calibration of FLO-E8914D,Vendor,2025-04-16 12:49:40,1519.28
254565e8-6551-49ac-a49f-bccf50,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Alteration,4,2023-12-10 00:00:00,2023-12-12 00:00:00,in_progress,Alteration for FLO-E8914D,Contractor,2025-04-16 12:49:40,
d15840b3-d02d-420e-8266-7b7f71,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Maintenance,1,2024-03-09 00:00:00,2024-03-12 00:00:00,completed,Maintenance for FLO-E8914D,Internal Team,2025-04-16 12:49:40,3545.46
d467aeb3-ef60-45be-9d8a-ab004b,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Alteration,4,2024-09-05 00:00:00,2024-09-06 00:00:00,completed,Alteration for FLO-E8914D,Internal Team,2025-04-16 12:49:40,1628.14
c4b0c1fa-9b20-47cd-bde3-9b5051,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Repair,3,2024-12-04 00:00:00,2024-12-06 00:00:00,completed,Repair for FLO-E8914D,Internal Team,2025-04-16 12:49:40,1657.68
6a35eacc-9ef1-4410-b62c-e095c9,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Alteration,4,2025-03-04 00:00:00,2025-03-05 00:00:00,in_progress,Alteration for FLO-E8914D,Contractor,2025-04-16 12:49:40,
7def6f6b-9ed2-4f70-9e00-e05912,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Inspection,2,2025-04-03 00:00:00,2025-04-04 00:00:00,scheduled,Inspection for FLO-E8914D,Internal Team,2025-04-16 12:49:40,
b6021cbd-b2bc-415e-8f1c-6734e5,SYS-4A549A15-F-80829-A-0F049,FLO-E8914D Inspection,2,2025-06-02 00:00:00,2025-06-04 00:00:00,in_progress,Inspection for FLO-E8914D,Contractor,2025-04-16 12:49:40,
667b859d-b4bd-44eb-99a8-99309e,SYS-4A549A15-F-80829-A-B1EE6,SPH-FCF600 Commissioning,1,2023-09-27 00:00:00,2023-09-28 00:00:00,completed,Initial commissioning and calibration of SPH-FCF600,Contractor,2025-04-16 12:49:40,4429.17
6700887c-1af4-4321-bfb0-c8fe09,SYS-4A549A15-F-80829-A-B1EE6,SPH-FCF600 Inspection,2,2023-10-27 00:00:00,2023-10-29 00:00:00,completed,Inspection for SPH-FCF600,Internal Team,2025-04-16 12:49:40,1335.21
b3d333e2-4cb4-4402-92df-7b0e2e,SYS-4A549A15-F-80829-A-B1EE6,SPH-FCF600 Inspection,2,2024-01-25 00:00:00,2024-01-28 00:00:00,completed,Inspection for SPH-FCF600,Vendor,2025-04-16 12:49:40,1898.81
c44c49e8-d349-479d-9fc4-ee8660,SYS-4A549A15-F-80829-A-B1EE6,SPH-FCF600 Maintenance,1,2024-04-24 00:00:00,2024-04-27 00:00:00,completed,Maintenance for SPH-FCF600,Contractor,2025-04-16 12:49:40,1873.38
0f891580-4eee-4cac-8914-6b37fb,SYS-4A549A15-F-80829-A-B1EE6,SPH-FCF600 Repair,3,2024-07-23 00:00:00,2024-07-25 00:00:00,completed,Repair for SPH-FCF600,Vendor,2025-04-16 12:49:40,785.99
f04cbcb5-3267-4705-a901-9cac75,SYS-4A549A15-F-80829-A-B1EE6,SPH-FCF600 Repair,3,2025-07-23 00:00:00,2025-07-24 00:00:00,scheduled,Repair for SPH-FCF600,Contractor,2025-04-16 12:49:40,
eb841216-57d2-40b1-bc8c-91e66f,SYS-4A549A15-F-80829-A-606BA,SPH-2A89FF Commissioning,1,2021-10-09 00:00:00,2021-10-10 00:00:00,completed,Initial commissioning and calibration of SPH-2A89FF,Contractor,2025-04-16 12:49:40,2124.8
a66f4551-87ca-48df-9575-d81177,SYS-4A549A15-F-80829-A-606BA,SPH-2A89FF Maintenance,1,2022-10-09 00:00:00,2022-10-12 00:00:00,in_progress,Maintenance for SPH-2A89FF,Internal Team,2025-04-16 12:49:40,
0ddbb95f-b8d2-49c5-affe-80d523,SYS-4A549A15-F-80829-A-606BA,SPH-2A89FF Maintenance,1,2023-10-09 00:00:00,2023-10-10 00:00:00,scheduled,Maintenance for SPH-2A89FF,Internal Team,2025-04-16 12:49:40,
f2f0f57d-cf43-4790-ae54-b3c211,SYS-4A549A15-F-80829-A-606BA,SPH-2A89FF Alteration,4,2024-01-07 00:00:00,2024-01-08 00:00:00,scheduled,Alteration for SPH-2A89FF,Internal Team,2025-04-16 12:49:40,
a7d71659-0cb4-4c89-a1f3-68a036,SYS-4A549A15-F-80829-A-606BA,SPH-2A89FF Maintenance,1,2024-03-07 00:00:00,2024-03-09 00:00:00,scheduled,Maintenance for SPH-2A89FF,Internal Team,2025-04-16 12:49:40,
